video,codec,target_bitrate,target_bitrate_kbps,actual_bitrate_kbps,width,height,resolution,fps,duration_s,original_size_kb,encoded_size_kb,compression_ratio,bitrate_savings_pct,encoding_time_s,psnr_mean,psnr_std,ssim_mean,ssim_std,motion_complexity,frames_compared
Jellyfish_360p,H265,4M,4000,3980.64,640,360,640x360,29.97,10.01001,1022.52,4864.04,0.21,-375.69,8.482,47.352,0.997,0.99356,0.00097,0.8599,50
Jellyfish_360p,H265,8M,8000,7940.547,640,360,640x360,29.97,10.01001,1022.52,9702.75,0.105,-848.91,9.828,50.983,1.407,0.99671,0.00083,0.8599,50
Jellyfish_720p,MPEG4,500k,500,1291.917,1280,720,1280x720,29.97,10.01001,2047.7,1578.63,1.297,22.91,0.4,32.386,1.395,0.88521,0.01593,1.2047,50
Jellyfish_720p,MPEG4,1M,1000,1296.053,1280,720,1280x720,29.97,10.01001,2047.7,1583.68,1.293,22.66,0.406,32.514,1.589,0.88699,0.01795,1.2047,50
Jellyfish_720p,MPEG4,2M,2000,2082.827,1280,720,1280x720,29.97,10.01001,2047.7,2545.06,0.805,-24.29,0.429,36.452,1.431,0.93895,0.01149,1.2047,50
Jellyfish_720p,MPEG4,4M,4000,4066.001,1280,720,1280x720,29.97,10.01001,2047.7,4968.35,0.412,-142.63,0.486,41.263,0.887,0.97362,0.00359,1.2047,50
Jellyfish_720p,MPEG4,8M,8000,8076.071,1280,720,1280x720,29.97,10.01001,2047.7,9868.35,0.208,-381.92,0.492,44.846,0.886,0.98623,0.00203,1.2047,50
Jellyfish_720p,H264,500k,500,493.354,1280,720,1280x720,29.97,10.01001,2047.7,602.84,3.397,70.56,2.329,32.078,0.59,0.90293,0.00948,1.2047,50
Jellyfish_720p,H264,1M,1000,986.307,1280,720,1280x720,29.97,10.01001,2047.7,1205.19,1.699,41.14,4.183,36.045,0.563,0.95105,0.00519,1.2047,50
Jellyfish_720p,H264,2M,2000,1961.435,1280,720,1280x720,29.97,10.01001,2047.7,2396.73,0.854,-17.05,5.855,40.325,0.788,0.97706,0.00322,1.2047,50
